No,TestDateTime,LocalFileRoot,in_AppSettings,in_InsertNewDataSqlPath,expected_BlobStatusPath,expected_FileAttributesCheck,expected_FileAttributesCount,expected_LogLevel,expected_LogResource,expected_LogInfo,expected_WithoutError,expected_ErrorDescription,error_DeleteDtDeviceFile,error_Delete,Remarks
7,2020-05-01T00:00:00.000,TestData\Blobs\001,"{ ""BlobCleanTarget_log"": ""1"" }",TestData\Sqls\001_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_007\Status.csv,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,
8,2020-05-01T00:00:00.000,TestData\Blobs\001,"{ ""BlobCleanTarget_log"": ""1"" }",TestData\Sqls\002_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_008\Status.csv,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,
9,2020-05-01T00:00:00.000,TestData\Blobs\002,"{ ""BlobCleanTarget_log"": ""1"" }",TestData\Sqls\003_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_009\Status.csv,FALSE,,2,CO_BLC_BLC_007,TestData\LogInfo\BlobCleaner_009\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
10,2020-05-01T00:00:00.000,TestData\Blobs\003,"{ ""BlobCleanTarget_log"": ""5"" }",TestData\Sqls\004_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_010\Status.csv,FALSE,,2,CO_BLC_BLC_007,TestData\LogInfo\BlobCleaner_010\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
11,2020-05-01T00:00:00.000,TestData\Blobs\003,"{ ""BlobCleanTarget_log"": ""5"" }",TestData\Sqls\005_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_011\Status.csv,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,
12,2020-05-01T00:00:00.000,TestData\Blobs\005,"{ ""BlobCleanTarget_log"": ""1"", ""BlobCleanTarget_error"": ""1"" }",TestData\Sqls\006_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_012\Status.csv,FALSE,,2,CO_BLC_BLC_007,TestData\LogInfo\BlobCleaner_012\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
13,2020-05-01T00:00:00.000,TestData\Blobs\005,"{ ""BlobCleanTarget_log"": ""1"", ""BlobCleanTarget_error"": ""1"" }",TestData\Sqls\006_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_013\Status.csv,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,
14,2020-05-01T00:00:00.000,TestData\Blobs\005,"{ ""BlobCleanTarget_log"": ""1"", ""BlobCleanTarget_error"": ""1"" }",TestData\Sqls\006_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_014\Status.csv,FALSE,,2,CO_BLC_BLC_007,TestData\LogInfo\BlobCleaner_014\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
15,2020-05-01T00:00:00.000,TestData\Blobs\005,"{ ""BlobCleanTarget_log"": ""1"", ""BlobCleanTarget_error"": ""1"" }",TestData\Sqls\006_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_015\Status.csv,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,
16,2020-05-01T00:00:00.000,TestData\Blobs\002,"{ ""BlobCleanTarget_log"": ""1"" }",TestData\Sqls\003_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_016\Status.csv,FALSE,,2,CO_BLC_BLC_007,TestData\LogInfo\BlobCleaner_016\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
17,2020-05-01T00:00:00.000,TestData\Blobs\002,"{ ""BlobCleanTarget_log"": ""1"" }",TestData\Sqls\003_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_017\Status.csv,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,
18,2020-05-01T00:00:00.000,TestData\Blobs\006,"{ ""BlobCleanTarget_device_369e2b6e-e1e1-4263-9af9-643f9c03ac5c/folder"": ""1"" }",TestData\Sqls\007_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_018\Status.csv,FALSE,,2,CO_BLC_BLC_007,TestData\LogInfo\BlobCleaner_018\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
19,2020-05-01T00:00:00.000,TestData\Blobs\006,"{ ""BlobCleanTarget_device_369e2b6e-e1e1-4263-9af9-643f9c03ac5c/folder"": ""1"" }",TestData\Sqls\007_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_019\Status.csv,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,
20,2020-05-01T00:00:00.000,TestData\Blobs\006,"{ ""BlobCleanTarget_device_369e2b6e-e1e1-4263-9af9-643f9c03ac5c/folder1"": ""1"" }",TestData\Sqls\007_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_020\Status.csv,FALSE,,2,CO_BLC_BLC_007,TestData\LogInfo\BlobCleaner_020\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
21,2020-05-01T00:00:00.000,TestData\Blobs\006,"{ ""BlobCleanTarget_device_369e2b6e-e1e1-4263-9af9-643f9c03ac5c/folder1"": ""1"" }",TestData\Sqls\007_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_021\Status.csv,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,
22,2020-05-01T00:00:00.000,TestData\Blobs\007,"{ ""BlobCleanTarget_log"": ""1"" }",TestData\Sqls\008_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_022\Status.csv,TRUE,0,2,CO_BLC_BLC_007,TestData\LogInfo\BlobCleaner_022\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
23,2020-05-01T00:00:00.000,TestData\Blobs\008,"{ ""BlobCleanTarget_log"": ""1"" }",TestData\Sqls\009_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_023\Status.csv,TRUE,2,,,,TRUE,FALSE,FALSE,FALSE,
24,2020-05-01T00:00:00.000,TestData\Blobs\007,"{ ""BlobCleanTarget_log"": ""1"" }",TestData\Sqls\010_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_024\Status.csv,FALSE,,2,CO_BLC_BLC_007,TestData\LogInfo\BlobCleaner_024\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
25,2020-05-01T00:00:00.000,TestData\Blobs\008,"{ ""BlobCleanTarget_log"": ""1"" }",TestData\Sqls\011_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_025\Status.csv,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,
26,2020-05-01T00:00:00.000,TestData\Blobs\006,"{ ""BlobCleanTarget_device_369e2b6e-e1e1-4263-9af9-643f9c03ac5c/folder"": ""1"" }",TestData\Sqls\007_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_026\Status.csv,FALSE,,2,CO_BLC_BLC_007,TestData\LogInfo\BlobCleaner_026\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
27,2020-05-01T00:00:00.000,TestData\Blobs\007,"{ ""BlobCleanTarget_log"": ""5"" }",TestData\Sqls\008_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_027\Status.csv,FALSE,,2,CO_BLC_BLC_004,TestData\LogInfo\BlobCleaner_027\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
32,2020-05-01T00:00:00.000,TestData\Blobs\007,,TestData\Sqls\012_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_032\Status.csv,FALSE,,4,CO_BLC_BLC_002,,FALSE,TRUE,FALSE,FALSE,
33,2020-05-01T00:00:00.000,TestData\Blobs\007,"{ ""BLOBCLEANTARGET_LOG_369E2B6E-E1E1-4263-9AF9-643F9C03AC5C"": ""1"" }",TestData\Sqls\010_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_033\Status.csv,FALSE,,2,CO_BLC_BLC_007,TestData\LogInfo\BlobCleaner_033\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
34,2020-05-01T00:00:00.000,TestData\Blobs\007,"{ ""BlobCleanTarget_log"": ""-1"" }",TestData\Sqls\010_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_034\Status.csv,FALSE,,4,CO_BLC_BLC_002,,FALSE,TRUE,FALSE,FALSE,
35,2020-05-01T00:00:00.000,TestData\Blobs\007,"{ ""BlobCleanTarget_log"": ""0"" }",TestData\Sqls\010_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_035\Status.csv,FALSE,,4,CO_BLC_BLC_002,,FALSE,TRUE,FALSE,FALSE,
36,2020-05-01T00:00:00.000,TestData\Blobs\007,"{ ""BlobCleanTarget_log"": ""hoge"" }",TestData\Sqls\010_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_036\Status.csv,FALSE,,4,CO_BLC_BLC_002,,FALSE,TRUE,FALSE,FALSE,
37,2020-05-01T00:00:00.000,TestData\Blobs\007,"{ ""BlobCleanTarget_log"": ""0xa"" }",TestData\Sqls\010_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_037\Status.csv,FALSE,,4,CO_BLC_BLC_002,,FALSE,TRUE,FALSE,FALSE,
38,2020-05-01T00:00:00.000,TestData\Blobs\007,"{ ""BlobCleanTarget_log"": """" }",TestData\Sqls\010_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_038\Status.csv,FALSE,,4,CO_BLC_BLC_002,,FALSE,TRUE,FALSE,FALSE,
39,2020-05-01T00:00:00.000,TestData\Blobs\007,"{ ""BlobCleanTargetlog"": ""1"" }",TestData\Sqls\010_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_039\Status.csv,FALSE,,4,CO_BLC_BLC_002,,FALSE,TRUE,FALSE,FALSE,
40,2020-05-01T00:00:00.000,,"{ ""BlobCleanTarget_log"": ""130000"" }",,,FALSE,,4,CO_BLC_BLC_001,,FALSE,FALSE,FALSE,FALSE,
41,2020-05-01T00:00:00.000,,"{ ""BlobCleanTarget_log"": ""1"",  ""ConnectionStrings:PrimaryDbConnectionString"": null }",,,FALSE,,4,CO_BLC_BLC_003,TestData\LogInfo\BlobCleaner_041\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
42,2020-05-01T00:00:00.000,TestData\Blobs\002,"{ ""BlobCleanTarget_log"": ""1"" }",TestData\Sqls\003_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_042\Status.csv,FALSE,,4,CO_BLC_BLC_006,TestData\LogInfo\BlobCleaner_042\LogInfo.csv,FALSE,FALSE,FALSE,TRUE,
43,2020-05-01T00:00:00.000,,"{ ""BlobCleanTarget_log"": ""1"",  ""ConnectionStrings:PrimaryBlobConnectionString"": ""BlobEndpoint=https://rmscoemujpemain01.blob.core.windows.net/;QueueEndpoint=https://rmscoemujpemain01.queue.core.windows.net/;FileEndpoint=https://rmscoemujpemain01.file.core.windows.net/;TableEndpoint=https://rmscoemujpemain01.table.core.windows.net/;SharedAccessSignature=sv=2019-02-02&ss=bfqt&srt=sco&sp=rwdlacup&se=9999-12-31T14:59:59Z&st=2019-12-31T15:00:00Z&spr=https&sig=ag1JfXOioL2TUARozkCKsobR8UntzAKYYWbyZYQs9og%3E"" }",TestData\Sqls\003_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_043\Status.csv,FALSE,,4,CO_BLC_BLC_006,TestData\LogInfo\BlobCleaner_043\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,
44,2020-05-01T00:00:00.000,TestData\Blobs\002,"{ ""BlobCleanTarget_log"": ""1"" }",TestData\Sqls\003_MakeDeviceAndDeviceFileData.sql,TestData\Status\BlobCleaner_044\Status.csv,FALSE,,4,CO_BLC_BLC_005,TestData\LogInfo\BlobCleaner_044\LogInfo.csv,FALSE,FALSE,TRUE,FALSE,
